case,sample,LB,unit,fq1,fq2,PL
ctMSI-CRC-0001,N,ctMSI-CRC-0001-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S025_SZ20190713030WHB-5_gdna_wesplus_30892_S25_L002_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S025_SZ20190713030WHB-5_gdna_wesplus_30892_S25_L002_R2_001.fastq.gz,ILM
ctMSI-CRC-0001,T,ctMSI-CRC-0001-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S078_SZ20190824036PES-b_ffpedna_wesplus_32703_S41_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S078_SZ20190824036PES-b_ffpedna_wesplus_32703_S41_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0002,N,ctMSI-CRC-0002-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S077_SZ20190808017WHB-8_gdna_wesplus_31753_S41_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S077_SZ20190808017WHB-8_gdna_wesplus_31753_S41_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0002,T,ctMSI-CRC-0002-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S092_SZ20190821018PES-c_ffpedna_wesplus_32622_S46_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S092_SZ20190821018PES-c_ffpedna_wesplus_32622_S46_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0003,N,ctMSI-CRC-0003-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S139_SZ20191102021WHB-5_gdna_wesplus_35839_S51_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S139_SZ20191102021WHB-5_gdna_wesplus_35839_S51_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0003,T,ctMSI-CRC-0003-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S074_SZ20191102022PES-2_ffpedna_wesplus_36340_S37_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S074_SZ20191102022PES-2_ffpedna_wesplus_36340_S37_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0004,T,ctMSI-CRC-0004-T,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S130_SZ20190720032PES-2_ffpedna_wesplus_30831_S48_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S130_SZ20190720032PES-2_ffpedna_wesplus_30831_S48_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0004,N,ctMSI-CRC-0004-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S007_SZ20190704029WHB-1_gdna_wesplus_31382_S88_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S007_SZ20190704029WHB-1_gdna_wesplus_31382_S88_L001_R2_001.fastq.gz,ILM
ctMSI-CRC-0004,T1,ctMSI-CRC-0004-T1,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S070_SZ20191031011PES-5_ffpedna_wesplus_36336_S33_L004_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S070_SZ20191031011PES-5_ffpedna_wesplus_36336_S33_L004_R2_001.fastq.gz,ILM
ctMSI-CRC-0005,N,ctMSI-CRC-0005-N,t1,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S005_SZ20190824043WHB-a_gdna_wesplus_32376_S27_L001_R1_001.fastq.gz,/home/pengjia/ProjectMSI/ctDNA/DATD/HaploX/WEX/191201DYH/S005_SZ20190824043WHB-a_gdna_wesplus_32376_S27_L001_R2_001.fastq.gz,ILM
